Name_email,Local Body,Local Body Type,LSG Code,Block,Assembly,District,District Panchayat,wikidata link,Name_std_ml,wikidata-kml,Local Body Full_ml,വെബ്സൈറ്റ്‌,Assembly(s)
adat,adat,GP,G080601,puzhakkal,Wadakkanchery,Thrissur,Thrissur,Q13109851,അടാട്ട്,Q13109851,അടാട്ട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/adatpanchayat,വടക്കാഞ്ചേരി
adichanalloor,adichanalloor,GP,G021004,ithikkara,Chathannoor,Kollam,Kollam,Q4682694,ആദിച്ചനല്ലൂര്‍,Q4682694,ആദിച്ചനല്ലൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/adichanalloorpanchayat,ചാത്തന്നൂർ
adimaly,adimaly,GP,G060101,adimaly,Devikulam,Idukki,Idukki,Q13109858,അടിമാലി,Q13109858,അടിമാലി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/adimalypanchayat,ദേവികുളം
adoor,adoor,Municipality,M030100,NA,Adoor,Pathanamthitta,NA,Q13109864,അടൂര്‍,Q13109864,അടൂര്‍ മുനിസിപ്പാലിറ്റി,adoormunicipality.lsgkerala.gov.in,അടൂർ
agali,agali,GP,G090601,attappady,Mannarkkad,Palakkad,Palakkad,Q15616213,അഗളി,Q15616213,അഗളി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/agalipanchayat,മണ്ണാര്‍ക്കാട്
aikaranad,aikaranad,GP,G071005,vadavucode,Kunnathunad,Ernakulam,Ernakulam,Q16136111,ഐക്കരനാട്,Q16136111,ഐക്കരനാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aikaranadpanchayat,കുന്നത്തുനാട്
ajanur,ajanur,GP,G140402,kanhangad,Kanhangad,Kasaragod,Kasaragod,Q4699555,അജാനൂര്‍,Q4699555,അജാനൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ajanurpanchayat,കാഞ്ഞങ്ങാട്
akalakunnam,akalakunnam,GP,G050701,pampady,Puthuppally,Kottayam,Kottayam,Q16133577,അകലക്കുന്നം,Q16133577,അകലക്കുന്നം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/akalakunnampanchayat,പുതുപ്പള്ളി
akathethara,akathethara,GP,G091301,malampuzha,Malampuzha,Palakkad,Palakkad,Q16133575,അകത്തേത്തറ,Q16133575,അകത്തേത്തറ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/akathetharapanchayat,മലമ്പുഴ
ala,ala,GP,G040804,chengannur,Chengannur,Alappuzha,Alappuzha,Q4705084,ആല,Q4705084,ആല ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alapanchayat,ചെങ്ങന്നൂർ
alagappanagar,alagappanagar,GP,G081101,kodakara,Puthukkad,Thrissur,Thrissur,Q13110136,അളഗപ്പനഗര്‍,Q13110136,അളഗപ്പനഗര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alagappanagarpanchayat,പുതുക്കാട്
alakode,alakode,GP,G060404,elemdesam,Thodupuzha,Idukki,Idukki,Q13110282,ആലക്കോട്,Q13110282,ആലക്കോട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alakodepanchayat,തൊടുപുഴ
alakode,alakode,GP,G130308,thalipparamba,Irikkur,Kannur,Kannur,Q13110284,ആലക്കോട്,Q13110284,ആലക്കോട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alakode,ഇരിക്കൂര്‍
alamkode,alamkode,GP,G101501,perumpadappa,Ponnani,Malappuram,Malappuram,Q20573742,ആലംകോട്,Q20573742,ആലംകോട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alamkodepanchayat,പൊന്നാനി
alanallur,alanallur,GP,G090501,mannarkkad,Mannarkkad,Palakkad,Palakkad,Q13110131,അലനല്ലൂര്‍,Q13110131,അലനല്ലൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alanallurpanchayat,മണ്ണാര്‍ക്കാട്
alangad,alangad,GP,G070203,alangad,Kalamassery,Ernakulam,Ernakulam,Q4716145,ആലങ്ങാട്,Q4716145,ആലങ്ങാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alangadpanchayat,കളമശ്ശേരി
alappad,alappad,GP,G020105,oachira,Karunagapally,Kollam,Kollam,Q13110294,ആലപ്പാട്,Q13110294,ആലപ്പാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alappadpanchayat,കരുനാഗപ്പള്ളി
alappuzha,alappuzha,Municipality,M040500,NA,,Alappuzha,NA,Q13110291,ആലപ്പുഴ,Q13110291,ആലപ്പുഴ മുനിസിപ്പാലിറ്റി,alappuzhamunicipality.lsgkerala.gov.in,"ആലപ്പുഴ, അമ്പലപ്പുഴ"
alathur,alathur,GP,G091201,alathur,Alathur,Palakkad,Palakkad,Q16136869,ആലത്തൂര്‍,Q16136869,ആലത്തൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alathurpanchayat,ആലത്തൂര്‍
alayamon,alayamon,GP,G020503,anchal,Chadayamangalam,Kollam,Kollam,Q13110129,അലയമണ്‍,Q13110129,അലയമണ്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alayamonpanchayat,ചടയമംഗലം
aliparamba,aliparamba,GP,G100701,perinthalmanna,Perinthalmanna,Malappuram,Malappuram,Q4726807,ആലിപ്പറമ്പ്,Q4726807,ആലിപ്പറമ്പ് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aliparambapanchayat,പെരിന്തല്‍മണ്ണ
aloor,aloor,GP,G081501,mala,Irinjalakuda,Thrissur,Thrissur,Q16136968,ആളൂര്‍,Q16136968,ആളൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aloorpanchayat,ഇരിങ്ങാലക്കുട
aluva,aluva,Municipality,M070800,NA,Aluva,Ernakulam,NA,Q16136960,ആലുവ,Q16136960,ആലുവ മുനിസിപ്പാലിറ്റി,aluvamunicipality.lsgkerala.gov.in,ആലുവ
amarambalam,amarambalam,GP,G100201,kalikavu,Nilambur,Malappuram,Malappuram,Q13110048,അമരമ്പലം,Q13110048,അമരമ്പലം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/amarambalampanchayat,നിലമ്പൂര്‍
ambalappara,ambalappara,GP,G090301,ottapalam,Ottapalam,Palakkad,Palakkad,Q13110063,അമ്പലപ്പാറ,Q13110063,അമ്പലപ്പാറ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ambalapparapanchayat,ഒറ്റപ്പാലം
ambalapuzha-north,Ambalapuzha North,GP,G040503,ambalapuzha,Ambalappuzha,Alappuzha,Alappuzha,Q13110071,അമ്പലപ്പുഴ-വടക്ക്,Q13110071,അമ്പലപ്പുഴ വടക്ക് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ambalapuzhanorthpanchayat,അമ്പലപ്പുഴ
ambalapuzha-south,Ambalapuzha South,GP,G040502,ambalapuzha,Ambalappuzha,Alappuzha,Alappuzha,Q13110062,അമ്പലപ്പുഴ-തെക്ക്,Q13110062,അമ്പലപ്പുഴ തെക്ക് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ambalapuzhasouthpanchayat,അമ്പലപ്പുഴ
ambalavayal,ambalavayal,GP,G120303,sulthan-bathery,Sulthan Bathery,Wayanad,Wayanad,Q20572903,അമ്പലവയല്‍,Q20572903,അമ്പലവയല്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ambalavayalpanchayat,സുൽത്താൻ ബത്തേരി
amballoor,amballoor,GP,G070905,mulanthuruthy,Piravom,Ernakulam,Ernakulam,Q16136502,ആമ്പല്ലൂര്‍,Q16136502,ആമ്പല്ലൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/amballoorpanchayat,പിറവം
amboori,amboori,GP,G010908,perumkadavila,Parassala,Thiruvananthapuram,Thiruvananthapuram,Q16134868,അമ്പൂരി,Q16134868,അമ്പൂരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ambooripanchayat,പാറശ്ശാല
anad,anad,GP,G010601,nedumangad,Vamanapuram,Thiruvananthapuram,Thiruvananthapuram,Q4750732,ആനാട്,Q4750732,ആനാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/anadpanchayat,വാമനപുരം
anakkara,anakkara,GP,G090101,trithala,Thrithala,Palakkad,Palakkad,Q13110239,ആനക്കര,Q13110239,ആനക്കര ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/anakkarapanchayat,തൃത്താല
anakkayam,anakkayam,GP,G100601,malappuram,Malappuram,Malappuram,Malappuram,Q4750982,ആനക്കയം,Q4750982,ആനക്കയം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/anakkayampanchayat,മലപ്പുറം
ananganadi,ananganadi,GP,G090302,ottapalam,Shoranur,Palakkad,Palakkad,Q13109935,അനങ്ങനടി,Q13109935,അനങ്ങനടി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ananganadipanchayat,ഷൊര്‍ണ്ണൂര്‍
anchal,anchal,GP,G020504,anchal,Punalur,Kollam,Kollam,Q13109838,അഞ്ചല്‍,Q13109838,അഞ്ചല്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/anchalpanchayat,പുനലൂർ
anchuthengu,anchuthengu,GP,G010301,chirayinkeezhu,Chirayinkeezhu,Thiruvananthapuram,Thiruvananthapuram,Q16133696,അഞ്ചുതെങ്ങ്,Q16133696,അഞ്ചുതെങ്ങ് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/anchuthengupanchayat,ചിറയിൻകീഴ്
andoorkonam,andoorkonam,GP,G010701,kazhakuttom,Nedumangad,Thiruvananthapuram,Thiruvananthapuram,Q16133814,അണ്ടൂര്‍ക്കോണം,Q16133814,അണ്ടൂര്‍ക്കോണം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/andoorkonampanchayat,നെടുമങ്ങാട്
angadippuram,angadippuram,GP,G100708,perinthalmanna,Mankada,Malappuram,Malappuram,Q13109815,അങ്ങാടിപ്പുറം,Q13109815,അങ്ങാടിപ്പുറം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/angadippurampanchayat,മങ്കട
angamaly,angamaly,Municipality,M070300,NA,Angamaly,Ernakulam,NA,Q13109811,അങ്കമാലി,Q13109811,അങ്കമാലി മുനിസിപ്പാലിറ്റി,angamalymunicipality.lsgkerala.gov.in,അങ്കമാലി
anicadu,anicadu,GP,G030101,mallappally,Thiruvalla,Pathanamthitta,Pathanamthitta,Q13110245,ആനിക്കാട്,Q13110245,ആനിക്കാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/anicadupanchayat,തിരുവല്ല
anjarakandy,anjarakandy,GP,G130706,thalassery,Dharmadom,Kannur,Kannur,Q13109827,അഞ്ചരക്കണ്ടി,Q13109827,അഞ്ചരക്കണ്ടി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/anjarakandypanchayat,ധര്‍മ്മടം
annamanada,annamanada,GP,G081502,mala,Kodungallur,Thrissur,Thrissur,Q13110011,അന്നമനട,Q13110011,അന്നമനട ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/annamanadapanchayat,കൊടുങ്ങല്ലൂര്‍
anthikad,anthikad,GP,G080901,anthikad,Nattika,Thrissur,Thrissur,Q13109993,അന്തിക്കാട്,Q13109993,അന്തിക്കാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/anthikadpanchayat,നാട്ടിക
anthoor,anthoor,Municipality,M130900,NA,Taliparamba,Kannur,NA,Q25588003,ആന്തൂര്‍,Q25588003,ആന്തൂര്‍ മുനിസിപ്പാലിറ്റി,anthoormunicipality.lsgkerala.gov.in,തളിപ്പറമ്പ്
arakulam,arakulam,GP,G060503,idukki,Idukki,Idukki,Idukki,Q16135311,അറക്കുളം,Q16135311,അറക്കുളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/arakulampanchayat,ഇടുക്കി
